"taxonUUID","taxonRank","taxon_id","simplifiedScientificName","kingdom","class","nativeness","endemism","protectedStatusTW","categoryRedlistTW","categoryIUCN","sensitiveCategory","categoryRedlistVersionTW","rank","simple_name","is_endemic","alien_type","new_iucn","new_redlistTW","new_protected","comparison_IUCN","comparison_name"
"7b0febf4-e3a9-4693-b195-76420d84c106","species","t0058186","Saporlegnia asterophora","Chromista","Peronosporea","","","","","","","","species","Saprolegnia asterophora","","native","","","",TRUE,FALSE
"7a095c2b-c00c-410a-8c50-7a37d7c373dd","species","t0058187","Saporlegnia austrlis","Chromista","Peronosporea","","","","","","","","species","Saprolegnia australis","","native","","","",TRUE,FALSE
"2015599a-f542-4b2c-baf8-69ac741154d2","species","t0058188","Saporlegnia diclina","Chromista","Peronosporea","","","","","","","","species","Saprolegnia diclina","","native","","","",TRUE,FALSE
"8385238d-3285-4797-bce1-3511278e033a","species","t0059547","Saporlegnia ferax","Chromista","Peronosporea","native","","","","","","","species","Saprolegnia ferax","","native","","","",TRUE,FALSE
"526ba010-3d9d-4bf5-b5f9-1ac837b34ef4","species","t0058189","Saporlegnia formosana","Chromista","Peronosporea","native","","","","","","","species","Saprolegnia formosana","","native","","","",TRUE,FALSE
"cac7ec7c-6864-4b18-8d3b-07120ad83d77","species","t0058190","Saporlegnia parasitica","Chromista","Peronosporea","native","","","","","","","species","Saprolegnia parasitica","","native","","","",TRUE,FALSE
"92fa83ca-3077-4dc0-8fe0-1d14d6a9f56f","species","t0059859","Saporlegnia subterranea","Chromista","Peronosporea","native","","","","","","","species","Saprolegnia subterranea","","native","","","",TRUE,FALSE
"0017916e-47e7-43d0-8528-511dc20986df","species","t0060451","Saporlegnia terrestris","Chromista","Peronosporea","","","","","","","","species","Saprolegnia terrestris","","native","","","",TRUE,FALSE
"85d52fc1-a328-48ed-8d4f-465340960efa","species","t0059860","Saporlegnia unispora","Chromista","Peronosporea","","","","","","","","species","Saprolegnia unispora","","native","","","",TRUE,FALSE
"04d877f8-bca8-41cf-9bf4-5f9885de23d9","infraspecies","t0087421","Cryptococcus neoformans sinensis","Fungi","Tremellomycetes","","","","","","","","infraspecies","Cryptococcus neoformans var. sinensis","","native","","","",TRUE,FALSE
