"taxonUUID","taxonRank","taxon_id","simplifiedScientificName","kingdom","class","nativeness","endemism","protectedStatusTW","categoryRedlistTW","categoryIUCN","sensitiveCategory","categoryRedlistVersionTW","rank","simple_name","is_endemic","alien_type","new_iucn","new_redlistTW","new_protected","name_parts","name_parts_clean","new_simple_name","genus","specificEpithet","infraspecies","comparison_IUCN","comparison_name"
"7b0febf4-e3a9-4693-b195-76420d84c106","species","t0058186","Saporlegnia asterophora","Chromista","Peronosporea","","","","","","","","species","Saprolegnia asterophora","","native","","","","c(""Saprolegnia"", ""asterophora"")","c(""Saprolegnia"", ""asterophora"")","Saprolegnia asterophora","Saprolegnia","asterophora",NA,TRUE,FALSE
"7a095c2b-c00c-410a-8c50-7a37d7c373dd","species","t0058187","Saporlegnia austrlis","Chromista","Peronosporea","","","","","","","","species","Saprolegnia australis","","native","","","","c(""Saprolegnia"", ""australis"")","c(""Saprolegnia"", ""australis"")","Saprolegnia australis","Saprolegnia","australis",NA,TRUE,FALSE
"2015599a-f542-4b2c-baf8-69ac741154d2","species","t0058188","Saporlegnia diclina","Chromista","Peronosporea","","","","","","","","species","Saprolegnia diclina","","native","","","","c(""Saprolegnia"", ""diclina"")","c(""Saprolegnia"", ""diclina"")","Saprolegnia diclina","Saprolegnia","diclina",NA,TRUE,FALSE
"8385238d-3285-4797-bce1-3511278e033a","species","t0059547","Saporlegnia ferax","Chromista","Peronosporea","native","","","","","","","species","Saprolegnia ferax","","native","","","","c(""Saprolegnia"", ""ferax"")","c(""Saprolegnia"", ""ferax"")","Saprolegnia ferax","Saprolegnia","ferax",NA,TRUE,FALSE
"526ba010-3d9d-4bf5-b5f9-1ac837b34ef4","species","t0058189","Saporlegnia formosana","Chromista","Peronosporea","native","","","","","","","species","Saprolegnia formosana","","native","","","","c(""Saprolegnia"", ""formosana"")","c(""Saprolegnia"", ""formosana"")","Saprolegnia formosana","Saprolegnia","formosana",NA,TRUE,FALSE
"cac7ec7c-6864-4b18-8d3b-07120ad83d77","species","t0058190","Saporlegnia parasitica","Chromista","Peronosporea","native","","","","","","","species","Saprolegnia parasitica","","native","","","","c(""Saprolegnia"", ""parasitica"")","c(""Saprolegnia"", ""parasitica"")","Saprolegnia parasitica","Saprolegnia","parasitica",NA,TRUE,FALSE
"92fa83ca-3077-4dc0-8fe0-1d14d6a9f56f","species","t0059859","Saporlegnia subterranea","Chromista","Peronosporea","native","","","","","","","species","Saprolegnia subterranea","","native","","","","c(""Saprolegnia"", ""subterranea"")","c(""Saprolegnia"", ""subterranea"")","Saprolegnia subterranea","Saprolegnia","subterranea",NA,TRUE,FALSE
"0017916e-47e7-43d0-8528-511dc20986df","species","t0060451","Saporlegnia terrestris","Chromista","Peronosporea","","","","","","","","species","Saprolegnia terrestris","","native","","","","c(""Saprolegnia"", ""terrestris"")","c(""Saprolegnia"", ""terrestris"")","Saprolegnia terrestris","Saprolegnia","terrestris",NA,TRUE,FALSE
"85d52fc1-a328-48ed-8d4f-465340960efa","species","t0059860","Saporlegnia unispora","Chromista","Peronosporea","","","","","","","","species","Saprolegnia unispora","","native","","","","c(""Saprolegnia"", ""unispora"")","c(""Saprolegnia"", ""unispora"")","Saprolegnia unispora","Saprolegnia","unispora",NA,TRUE,FALSE
"a7435c67-e3d4-43b3-af77-c99b8006680c","species","t0057804","Astropecten  polyacanthus","Animalia","Asteroidea","","","","","","","","species","Astropecten polyacanthus","","native","","","","c(""Astropecten"", ""polyacanthus"")","c(""Astropecten"", ""polyacanthus"")","Astropecten polyacanthus","Astropecten","polyacanthus",NA,TRUE,FALSE
"f54e2b4a-1897-4c41-b9e2-4298cd621fe3","species","t0042577","Phanerochaete angustocystidiata","Fungi","Agaricomycetes","native","","","","","","","species","Phanerochaetella angustocystidiata","","native","","","","c(""Phanerochaetella"", ""angustocystidiata"")","c(""Phanerochaetella"", ""angustocystidiata"")","Phanerochaetella angustocystidiata","Phanerochaetella","angustocystidiata",NA,TRUE,FALSE
"b94444c1-baf6-42e8-91b2-8772247a3cd3","species","t0042671","Phlebiopsis himalayensis","Fungi","Agaricomycetes","native","","","","","","","species","Phaeophlebiopsis himalayensis","","native","","","","c(""Phaeophlebiopsis"", ""himalayensis"")","c(""Phaeophlebiopsis"", ""himalayensis"")","Phaeophlebiopsis himalayensis","Phaeophlebiopsis","himalayensis",NA,TRUE,FALSE
"ba8c2698-ce35-46cd-b3f6-8d43bb01a491","species","t0042598","Phanerochaete intertexta","Fungi","Agaricomycetes","native","","","","","","","species","Efibula intertexta","","native","","","","c(""Efibula"", ""intertexta"")","c(""Efibula"", ""intertexta"")","Efibula intertexta","Efibula","intertexta",NA,TRUE,FALSE
"e4a970e7-c33c-45d3-b688-621cd5d99cb6","species","t0042599","Phanerochaete leptoderma","Fungi","Agaricomycetes","native","","","","","","","species","Phanerochaetella leptoderma","","native","","","","c(""Phanerochaetella"", ""leptoderma"")","c(""Phanerochaetella"", ""leptoderma"")","Phanerochaetella leptoderma","Phanerochaetella","leptoderma",NA,TRUE,FALSE
"caf662c7-6d6f-4467-8b20-8f7403a51b46","species","t0042602","Phanerochaete odontoidea","Fungi","Agaricomycetes","native","","","","","","","species","Hydnophanerochaete odontoidea","","native","","","","c(""Hydnophanerochaete"", ""odontoidea"")","c(""Hydnophanerochaete"", ""odontoidea"")","Hydnophanerochaete odontoidea","Hydnophanerochaete","odontoidea",NA,TRUE,FALSE
"109575fe-81c0-43a6-9c92-61b8925f78e3","species","t0042605","Phanerochaete rubescens","Fungi","Agaricomycetes","native","","","","","","","species","Rhizochaete borneensis","","native","","","","c(""Rhizochaete"", ""borneensis"")","c(""Rhizochaete"", ""borneensis"")","Rhizochaete borneensis","Rhizochaete","borneensis",NA,TRUE,FALSE
"6c192ceb-2d16-4037-aad8-6afba8425b7c","species","t0042610","Phanerochaete subglobosa","Fungi","Agaricomycetes","native","","","","","","","species","Luteochaete subglobosa","","native","","","","c(""Luteochaete"", ""subglobosa"")","c(""Luteochaete"", ""subglobosa"")","Luteochaete subglobosa","Luteochaete","subglobosa",NA,TRUE,FALSE
"c57aa4c5-4bbe-48c6-b76d-f03c49245e49","species","t0042614","Phanerochaete tropica","Fungi","Agaricomycetes","native","","","","","","","species","Efibula tropica","","native","","","","c(""Efibula"", ""tropica"")","c(""Efibula"", ""tropica"")","Efibula tropica","Efibula","tropica",NA,TRUE,FALSE
"2ed15510-adf1-4868-8c3f-e4f0c8fa0717","species","t0077220","Callyspongia (Cladochalina) confoederata","Animalia","Demospongiae","native","","","","","","","species","Callyspongia confoederata","","native","","","","c(""Callyspongia"", ""confoederata"")","c(""Callyspongia"", ""confoederata"")","Callyspongia confoederata","Callyspongia","confoederata",NA,TRUE,FALSE
"9952eee3-5ec5-49d8-a29a-edc53564f4b8","species","t0077221","Callyspongia (Toxochalina) fenestrata","Animalia","Demospongiae","native","","","","","","","species","Callyspongia fenestrata","","native","","","","c(""Callyspongia"", ""fenestrata"")","c(""Callyspongia"", ""fenestrata"")","Callyspongia fenestrata","Callyspongia","fenestrata",NA,TRUE,FALSE
"f6dfa9cb-fa9c-4384-b1b6-a234b9b22949","species","t0083896","Petrosia (Petrosia) solida","Animalia","Demospongiae","native","","","","","","","species","Petrosia solida","","native","","","","c(""Petrosia"", ""solida"")","c(""Petrosia"", ""solida"")","Petrosia solida","Petrosia","solida",NA,TRUE,FALSE
"f51bef8a-70a8-4e86-add7-98b3a42a261f","species","t0083895","Petrosia (Strongylophora) corticata","Animalia","Demospongiae","native","","","","","","","species","Petrosia corticata","","native","","","","c(""Petrosia"", ""corticata"")","c(""Petrosia"", ""corticata"")","Petrosia corticata","Petrosia","corticata",NA,TRUE,FALSE
"7f79ad2b-49b3-4414-b7dd-758c66558e40","species","t0083897","Petrosia (Strongylophora) strongylata","Animalia","Demospongiae","native","","","","","","","species","Petrosia strongylata","","native","","","","c(""Petrosia"", ""strongylata"")","c(""Petrosia"", ""strongylata"")","Petrosia strongylata","Petrosia","strongylata",NA,TRUE,FALSE
"d56cd335-2c14-465d-861d-a68127a67b17","species","t0078638","Clathria (Thalysias) reinwardti","Animalia","Demospongiae","native","","","","","","","species","Clathria reinwardti","","native","","","","c(""Clathria"", ""reinwardti"")","c(""Clathria"", ""reinwardti"")","Clathria reinwardti","Clathria","reinwardti",NA,TRUE,FALSE
"44a2fce2-3511-4682-85bb-107110448468","species","t0078639","Clathria (Thalysias) vulpina","Animalia","Demospongiae","native","","","","","","","species","Clathria vulpina","","native","","","","c(""Clathria"", ""vulpina"")","c(""Clathria"", ""vulpina"")","Clathria vulpina","Clathria","vulpina",NA,TRUE,FALSE
"f7c86b1f-6d7a-4666-8fb3-ec5c5b603de9","species","t0079532","Crella (Grayella) papillata","Animalia","Demospongiae","native","","","","","","","species","Crella papillata","","native","","","","c(""Crella"", ""papillata"")","c(""Crella"", ""papillata"")","Crella papillata","Crella","papillata",NA,TRUE,FALSE
"a5d8d265-2ff1-4f61-8522-ee9f6bf61257","species","t0079448","Cosell falsus","Animalia","Arachnida","native","true","","","","","","species","Cosella falsus","true","native","","","","c(""Cosella"", ""falsus"")","c(""Cosella"", ""falsus"")","Cosella falsus","Cosella","falsus",NA,TRUE,FALSE
"22cd7622-2a65-4084-a72c-87ecac96315a","species","t0079449","Cosell kadsuriae","Animalia","Arachnida","native","true","","","","","","species","Cosella kadsuriae","true","native","","","","c(""Cosella"", ""kadsuriae"")","c(""Cosella"", ""kadsuriae"")","Cosella kadsuriae","Cosella","kadsuriae",NA,TRUE,FALSE
"53a80b03-a512-49d3-abb3-bf6ed0625dca","species","t0079450","Cosell parvifloriae","Animalia","Arachnida","native","true","","","","","","species","Cosella parvifloriae","true","native","","","","c(""Cosella"", ""parvifloriae"")","c(""Cosella"", ""parvifloriae"")","Cosella parvifloriae","Cosella","parvifloriae",NA,TRUE,FALSE
"2f706224-32c2-4104-932c-01f6b8e588e9","species","t0082115","Oligonychus (Oligonychus) bicolor","Animalia","Arachnida","native","","","","","","","species","Oligonychus bicolor","","native","","","","c(""Oligonychus"", ""bicolor"")","c(""Oligonychus"", ""bicolor"")","Oligonychus bicolor","Oligonychus","bicolor",NA,TRUE,FALSE
"095f7f45-075a-4485-a109-b21925203f5f","species","t0082117","Oligonychus (Oligonychus) changi","Animalia","Arachnida","native","","","","","","","species","Oligonychus changi","","native","","","","c(""Oligonychus"", ""changi"")","c(""Oligonychus"", ""changi"")","Oligonychus changi","Oligonychus","changi",NA,TRUE,FALSE
"df7c06a2-962f-4dcc-a622-b91e2154d909","species","t0082119","Oligonychus (Reckiella) formosanus","Animalia","Arachnida","native","","","","","","","species","Oligonychus formosanus","","native","","","","c(""Oligonychus"", ""formosanus"")","c(""Oligonychus"", ""formosanus"")","Oligonychus formosanus","Oligonychus","formosanus",NA,TRUE,FALSE
"91399f63-8e44-454b-acd3-2451c33a4ec2","species","t0048087","Trombicula (Vorcana) corvi","Animalia","Arachnida","native","","","","","","","species","Trombicula corvi","","native","","","","c(""Trombicula"", ""corvi"")","c(""Trombicula"", ""corvi"")","Trombicula corvi","Trombicula","corvi",NA,TRUE,FALSE
"8b21c0ca-efbb-426b-a447-ce62d03e81ef","species","t0057733","Araneus ejusmodi","Animalia","Arachnida","native","","","","","","","species","Songaraneus ejusmodi","","native","","","","c(""Songaraneus"", ""ejusmodi"")","c(""Songaraneus"", ""ejusmodi"")","Songaraneus ejusmodi","Songaraneus","ejusmodi",NA,TRUE,FALSE
