"taxonUUID","taxonRank","taxon_id","simplifiedScientificName","kingdom","class","nativeness","endemism","protectedStatusTW","categoryRedlistTW","categoryIUCN","sensitiveCategory","categoryRedlistVersionTW","rank","new_simple_name","is_endemic","alien_type","new_iucn","new_redlistTW","new_protected","genus","specificEpithet","infraspecies","comparison_name","comparison_IUCN","comparison_redlistTW","comparison_protected"
"7b0febf4-e3a9-4693-b195-76420d84c106","species","t0058186","Saporlegnia asterophora","Chromista","Peronosporea","native","","","","","","","species","Saprolegnia asterophora","","native","","","","Saprolegnia","asterophora",NA,FALSE,TRUE,TRUE,TRUE
"7a095c2b-c00c-410a-8c50-7a37d7c373dd","species","t0058187","Saporlegnia austrlis","Chromista","Peronosporea","native","","","","","","","species","Saprolegnia australis","","native","","","","Saprolegnia","australis",NA,FALSE,TRUE,TRUE,TRUE
"2015599a-f542-4b2c-baf8-69ac741154d2","species","t0058188","Saporlegnia diclina","Chromista","Peronosporea","native","","","","","","","species","Saprolegnia diclina","","native","","","","Saprolegnia","diclina",NA,FALSE,TRUE,TRUE,TRUE
"8385238d-3285-4797-bce1-3511278e033a","species","t0059547","Saporlegnia ferax","Chromista","Peronosporea","native","","","","","","","species","Saprolegnia ferax","","native","","","","Saprolegnia","ferax",NA,FALSE,TRUE,TRUE,TRUE
"526ba010-3d9d-4bf5-b5f9-1ac837b34ef4","species","t0058189","Saporlegnia formosana","Chromista","Peronosporea","native","","","","","","","species","Saprolegnia formosana","","native","","","","Saprolegnia","formosana",NA,FALSE,TRUE,TRUE,TRUE
"cac7ec7c-6864-4b18-8d3b-07120ad83d77","species","t0058190","Saporlegnia parasitica","Chromista","Peronosporea","native","","","","","","","species","Saprolegnia parasitica","","native","","","","Saprolegnia","parasitica",NA,FALSE,TRUE,TRUE,TRUE
"92fa83ca-3077-4dc0-8fe0-1d14d6a9f56f","species","t0059859","Saporlegnia subterranea","Chromista","Peronosporea","native","","","","","","","species","Saprolegnia subterranea","","native","","","","Saprolegnia","subterranea",NA,FALSE,TRUE,TRUE,TRUE
"0017916e-47e7-43d0-8528-511dc20986df","species","t0060451","Saporlegnia terrestris","Chromista","Peronosporea","native","","","","","","","species","Saprolegnia terrestris","","native","","","","Saprolegnia","terrestris",NA,FALSE,TRUE,TRUE,TRUE
"85d52fc1-a328-48ed-8d4f-465340960efa","species","t0059860","Saporlegnia unispora","Chromista","Peronosporea","native","","","","","","","species","Saprolegnia unispora","","native","","","","Saprolegnia","unispora",NA,FALSE,TRUE,TRUE,TRUE
"fa00e918-cc98-4457-8c2e-b272672908d0","species","t0030082","Paracalanidae tenuis","Animalia","Maxillopoda","","","","","","","","species","Calocalanus tenuis","","native","","","","Calocalanus","tenuis",NA,FALSE,TRUE,TRUE,TRUE
"a7435c67-e3d4-43b3-af77-c99b8006680c","species","t0057804","Astropecten  polyacanthus","Animalia","Asteroidea","native","","","","","","","species","Astropecten polyacanthus","","native","","","","Astropecten","polyacanthus",NA,FALSE,TRUE,TRUE,TRUE
"f54e2b4a-1897-4c41-b9e2-4298cd621fe3","species","t0042577","Phanerochaete angustocystidiata","Fungi","Agaricomycetes","native","","","","","","","species","Phanerochaetella angustocystidiata","","native","","","","Phanerochaetella","angustocystidiata",NA,FALSE,TRUE,TRUE,TRUE
"b94444c1-baf6-42e8-91b2-8772247a3cd3","species","t0042671","Phlebiopsis himalayensis","Fungi","Agaricomycetes","native","","","","","","","species","Phaeophlebiopsis himalayensis","","native","","","","Phaeophlebiopsis","himalayensis",NA,FALSE,TRUE,TRUE,TRUE
"ba8c2698-ce35-46cd-b3f6-8d43bb01a491","species","t0042598","Phanerochaete intertexta","Fungi","Agaricomycetes","native","","","","","","","species","Efibula intertexta","","native","","","","Efibula","intertexta",NA,FALSE,TRUE,TRUE,TRUE
"e4a970e7-c33c-45d3-b688-621cd5d99cb6","species","t0042599","Phanerochaete leptoderma","Fungi","Agaricomycetes","native","","","","","","","species","Phanerochaetella leptoderma","","native","","","","Phanerochaetella","leptoderma",NA,FALSE,TRUE,TRUE,TRUE
"caf662c7-6d6f-4467-8b20-8f7403a51b46","species","t0042602","Phanerochaete odontoidea","Fungi","Agaricomycetes","native","","","","","","","species","Hydnophanerochaete odontoidea","","native","","","","Hydnophanerochaete","odontoidea",NA,FALSE,TRUE,TRUE,TRUE
"109575fe-81c0-43a6-9c92-61b8925f78e3","species","t0042605","Phanerochaete rubescens","Fungi","Agaricomycetes","native","","","","","","","species","Rhizochaete borneensis","","native","","","","Rhizochaete","borneensis",NA,FALSE,TRUE,TRUE,TRUE
"6c192ceb-2d16-4037-aad8-6afba8425b7c","species","t0042610","Phanerochaete subglobosa","Fungi","Agaricomycetes","native","","","","","","","species","Luteochaete subglobosa","","native","","","","Luteochaete","subglobosa",NA,FALSE,TRUE,TRUE,TRUE
"c57aa4c5-4bbe-48c6-b76d-f03c49245e49","species","t0042614","Phanerochaete tropica","Fungi","Agaricomycetes","native","","","","","","","species","Efibula tropica","","native","","","","Efibula","tropica",NA,FALSE,TRUE,TRUE,TRUE
"1446426c-333c-4a1b-884e-971e8917f921","species","t0043065","Tyromyces subcaesius","Fungi","Agaricomycetes","","","","","","","","species","Postia subcaesia","","native","","","","Postia","subcaesia",NA,FALSE,TRUE,TRUE,TRUE
"db065f55-03c9-4258-9a41-d7da2054bfee","species","t0033567","Entrophospora kentinensis","Fungi","Glomeromycetes","","","","","","","","species","Acaulospora kentinensis","","native","","","","Acaulospora","kentinensis",NA,FALSE,TRUE,TRUE,TRUE
"0475d075-6dc2-4be2-8596-929941facf28","species","t0043044","Bahusaganda toruloides","Fungi","Ascomycota classis incertae sedis","","","","","","","","species","Polyschema toruloides","","native","","","","Polyschema","toruloides",NA,FALSE,TRUE,TRUE,TRUE
"deec8490-0777-4853-8069-1b0fd60169e3","species","t0044216","Sterigmatobotrys uniseptata","Fungi","Sordariomycetes","","","","","","","","species","Sterigmatobotrys uniseptatus","","native","","","","Sterigmatobotrys","uniseptatus",NA,FALSE,TRUE,TRUE,TRUE
"a5d8d265-2ff1-4f61-8522-ee9f6bf61257","species","t0079448","Cosell falsus","Animalia","Arachnida","native","true","","","","","","species","Cosella falsus","true","native","","","","Cosella","falsus",NA,FALSE,TRUE,TRUE,TRUE
